review_id,target
0,0
1,0
2,0
5,0
7,8
11,0
15,0
21,8
22,8
31,"7,8"
33,8
35,0
37,0
45,8
49,3
53,8
54,8
55,0
57,0
63,8
66,0
68,0
79,0
82,8
98,0
99,8
100,"0,8"
104,8
106,0
109,8
117,6
123,8
124,0
128,8
133,0
137,"1,8"
143,8
144,0
146,8
148,0
149,0
152,8
153,0
156,8
157,0
158,8
161,0
168,0
171,0
173,8
174,"3,8"
179,8
183,8
189,0
195,0
198,8
199,0
202,0
205,0
206,8
208,0
211,0
215,8
220,8
221,0
231,0
232,0
234,8
237,0
243,0
248,8
250,8
258,0
264,8
270,8
273,8
274,"1,8"
278,"0,8"
279,8
280,8
283,8
290,8
292,8
297,0
298,8
318,8
323,8
331,8
333,8
336,8
352,"6,8"
364,8
369,"3,8"
371,0
375,8
377,8
385,0
391,0
393,0
401,0
402,8
406,8
408,0
412,0
413,8
422,8
426,8
431,"1,8"
434,8
445,0
446,0
447,0
449,8
450,0
455,8
458,0
461,"1,8"
468,0
473,8
478,8
481,8
487,0
493,0
502,0
505,8
512,0
517,8
522,8
524,8
526,"1,8"
528,8
529,8
536,8
539,0
540,8
541,8
543,8
551,8
552,0
557,0
558,0
560,8
563,0
565,0
566,0
572,0
578,8
587,0
590,0
591,8
592,0
599,0
600,8
604,8
605,0
607,8
610,"1,8"
612,8
613,0
620,0
621,8
623,0
626,0
630,0
634,0
635,0
636,8
646,0
653,8
654,0
655,1
662,8
665,8
666,0
667,8
670,0
671,0
677,8
679,8
682,0
689,0
692,0
693,8
696,0
697,8
698,8
699,8
707,8
713,0
715,0
718,8
722,0
724,8
727,0
730,8
732,8
747,8
748,8
749,8
750,8
751,0
755,8
757,0
760,8
761,8
763,0
768,8
769,8
770,8
772,0
774,8
776,0
777,0
778,8
781,8
785,0
793,8
812,0
814,8
817,0
818,8
822,8
835,0
841,8
842,0
844,0
845,8
851,0
855,1
858,"1,8"
861,3
862,0
867,8
868,8
874,0
880,8
882,8
886,8
892,8
902,8
907,0
910,8
913,0
915,8
916,0
920,0
921,8
923,8
927,8
930,8
933,8
945,8
949,0
950,8
953,8
957,8
963,0
975,8
976,0
978,8
982,0
984,8
986,"1,8"
988,0
989,0
991,0
1000,8
1005,8
1007,8
1008,8
1010,8
1011,0
1012,0
1013,8
1016,8
1017,8
1019,8
1022,0
1027,0
1028,0
1029,8
1033,"1,8"
1037,0
1042,8
1045,8
1049,8
1050,0
1052,0
1057,"1,6"
1059,8
1060,0
1061,8
1065,"3,8"
1067,8
1070,8
1071,8
1072,8
1073,"1,8"
1086,0
1087,0
1089,8
1092,0
1097,8
1098,0
1101,0
1104,0
1105,0
1106,0
1108,8
1111,0
1117,0
1121,8
1127,0
1129,0
1130,8
1131,8
1133,0
1136,0
1145,8
1146,8
1155,8
1175,8
1179,8
1187,1
1191,0
1196,8
1197,8
1200,0
1202,0
1203,0
1204,8
1210,0
1212,8
1230,8
1233,0
1235,0
1236,0
1238,0
1239,0
1243,0
1252,0
1259,8
1265,"1,8"
1266,8
1270,8
1276,0
1279,8
1282,"0,8"
1283,8
1285,0
1292,8
1293,8
1307,8
1309,8
1312,0
1313,0
1317,0
1328,8
1335,0
1339,0
1345,8
1347,8
1349,0
1351,0
1374,8
1375,8
1376,0
1378,0
1386,8
1395,0
1400,0
1407,"0,8"
1412,"1,8"
1421,0
1428,8
1435,8
1456,0
1457,3
1462,0
1469,0
1473,8
1477,0
1480,0
1488,8
1490,8
1496,8
1499,8
1504,8
1505,0
1508,8
1509,0
1510,8
1512,8
1515,8
1516,0
1518,0
1520,0
1521,0
1522,0
1524,8
1534,0
1541,0
1553,8
1564,8
1569,8
1575,0
1589,8
1596,8
1602,0
1603,0
1605,0
1609,8
1621,0
1628,8
1636,8
1642,8
1643,0
1644,0
1648,0
1650,8
1655,8
1659,"1,8"
1662,8
1673,8
1677,0
1686,0
1690,8
1691,0
1692,8
1695,8
1696,8
1699,8
1708,8
1711,8
1712,3
1717,"1,8"
1718,8
1722,0
1726,3
1727,0
1728,0
1729,8
1735,0
1739,0
1746,8
1753,8
1754,0
1756,8
1760,8
1761,8
1763,8
1767,8
1779,8
1780,"1,8"
1781,8
1783,0
1787,8
1789,0
1793,0
